Tiempo (s),intensidad
207,2.4639052333946518e-8
208,2.2370824975632063e-8
209,2.3812966444914626e-8
210,2.446265553811786e-8
211,2.1436752806359036e-8
212,2.2384427941935757e-8
213,1.995172728885492e-8
214,2.4172857952552306e-8
215,2.1471579829411145e-8
216,2.0157144075958136e-8
217,2.2713313746585067e-8
218,2.347884885155161e-8
219,2.4777757603361676e-8
220,2.1658715668579454e-8
221,2.1654890897884166e-8
222,2.0203206367434166e-8
223,1.9415854107153082e-8
224,2.1622524606069056e-8
225,2.094930887440442e-8
226,1.9315035024498415e-8
227,2.133418221133309e-8
228,1.9327336142417165e-8
229,1.762983306374633e-8
230,1.7884466931601702e-8
231,1.5560229565533315e-8
232,1.7750038525301606e-8
233,1.4884193247260589e-8
234,1.6267244715279478e-8
235,1.4089156719769082e-8
236,1.382995286636663e-8
237,1.4887679130150097e-8
238,1.4950681856416458e-8
239,1.4697541664561931e-8
240,1.4671347373300355e-8
241,1.6317626943915187e-8
242,1.6217428803483267e-8
243,1.962336129831378e-8
244,1.9342873874453802e-8
245,1.819142415174941e-8
246,1.7188073414711607e-8
247,1.815791588772805e-8
248,1.7758177801808084e-8
249,1.6261230278943967e-8
250,1.6406638157824092e-8
251,1.743323562270254e-8
252,1.7263998913231342e-8
253,1.4667496727773287e-8
254,1.4741510971308256e-8
255,1.508870612189459e-8
256,1.7074618147156417e-8
257,1.6827980496450196e-8
258,1.833644752745444e-8
259,1.740011024785358e-8
260,1.5677658494384322e-8
261,1.6029943809338635e-8
262,1.5347007310770542e-8
263,1.8366622509523524e-8
264,1.6406366160779545e-8
265,1.869519502509311e-8
266,1.7472176170424338e-8
267,1.7669058148561e-8
268,1.660709996993113e-8
269,1.859740290574933e-8
270,2.047685712230789e-8
271,1.9887046994178855e-8
272,2.0942609747786992e-8
273,2.0099534528253257e-8
274,2.2710181232290892e-8
275,2.0815483351927045e-8
276,1.8633910276434104e-8
277,1.858024344599902e-8
278,1.9071374747220774e-8
279,1.7331134792919064e-8
280,1.6384417276511368e-8
281,1.810755445782913e-8
282,1.8579507599995272e-8
283,2.2565782609919446e-8
284,1.8498691083196463e-8
285,2.0146054291758535e-8
286,2.0066794353400626e-8
287,1.8361865420680325e-8
288,2.0906387702909963e-8
289,1.9307809268259376e-8
290,1.938962456244707e-8
291,2.0583442000022342e-8
292,2.1576271583318395e-8
293,2.176884063501153e-8
294,2.1647761772907926e-8
295,2.16890634870486e-8
296,2.1708209290809028e-8
297,2.3173018054566588e-8
298,2.009595270666284e-8
299,1.9995556704096653e-8
300,1.8824450167450984e-8
301,1.9233857760561305e-8
302,1.9546274791026596e-8
303,1.6286508864473234e-8
304,1.5714009088806396e-8
305,1.9688539442109152e-8
306,1.735253783502928e-8
307,1.5899951515241507e-8
308,1.9034260118500423e-8
309,1.7729018777742322e-8
310,1.846326912006278e-8
311,1.764658205908208e-8
312,1.2942524626135269e-8
313,1.72507348515824e-8
314,1.714577025127219e-8
315,1.4412788047377597e-8
316,1.6576261906000608e-8
317,1.7000629392360698e-8
318,1.657482684178949e-8
319,1.9301319509600986e-8
320,2.1245560836274857e-8
321,1.932958366630879e-8
322,1.8819292831155614e-8
323,2.0880457018371896e-8
324,1.8095917182483655e-8
325,1.8673554778862206e-8
326,2.140760091726281e-8
327,2.300727587252911e-8
328,2.0021550182566783e-8
329,1.9987938292376504e-8
330,1.9650078967130426e-8
331,1.9526032147748787e-8
332,1.9155522384719654e-8
333,1.7378648528772612e-8
334,1.9833246061690583e-8
335,1.8428937619960268e-8
336,2.1144771678929615e-8
337,2.0687670956042802e-8
338,1.8577103469127624e-8
339,1.945216747475369e-8
340,1.875045453305483e-8
341,2.0691996677372426e-8
342,2.0472863931619527e-8
343,1.980972287104308e-8
344,1.876553713729153e-8
345,2.044866687564843e-8
346,1.7969202380010034e-8
347,1.8663938726321297e-8
348,2.2201724028967803e-8
349,2.353534126471024e-8
350,2.0369951736185025e-8
351,2.06356189619797e-8
352,1.997373575380799e-8
353,2.1023789522158866e-8
354,1.97759110499313e-8
355,2.1206500153969783e-8
356,2.040955332351593e-8
357,2.2936439404063596e-8
358,2.0290932213072962e-8
359,2.021676672821352e-8
360,2.3568665896702645e-8
361,2.1380817178521428e-8
362,2.081668641517608e-8
363,2.3267193412252793e-8
364,2.356497590319659e-8
365,2.1632877947400654e-8
366,2.0207165573438906e-8
367,1.9239567278708326e-8
368,2.0536314185756777e-8
369,2.1393901897505415e-8
370,1.9758091849214017e-8
371,2.030684247946331e-8
372,1.8735271888117624e-8
373,1.9149855445326705e-8
374,1.9443005543640144e-8
375,2.0390505852866994e-8
376,1.8517237635710544e-8
377,1.9370239923186855e-8
378,2.1219492851617272e-8
379,2.1696186230730522e-8
380,1.9868711329878465e-8
381,2.2225421192167666e-8
382,2.3427432756375174e-8
383,2.395692095848928e-8
384,2.3657235872825984e-8
385,2.155904902004201e-8
386,2.2769484588032542e-8
387,2.173723997857241e-8
388,2.0732372345462288e-8
389,2.2245158269163886e-8
390,2.2904720680982334e-8
391,2.1062164481687847e-8
392,2.088221197667889e-8
393,2.317963537210732e-8
394,2.3372038874666915e-8
395,2.285324102469317e-8
396,2.3782658511355652e-8
397,2.1761107781786423e-8
398,2.1574562617676862e-8
399,2.1254407361454562e-8
400,2.0014636178193392e-8
401,2.0228668621292647e-8
402,2.3476497270263204e-8
403,5.238809422944982e-8
404,4.56866484925807e-8
405,4.305818307882048e-8
406,5.469575228586893e-8
407,2.076251694967693e-8
408,2.1178929271486038e-8
409,1.9590972725578085e-8
410,2.2779888813624006e-8
411,2.1386070787665893e-8
412,2.1493572170676007e-8
413,2.1143578865491676e-8
414,2.192155714650018e-8
415,2.3839838005708623e-8
416,2.302383689588872e-8
417,2.741374697617914e-8
418,1.964086452235211e-8
419,2.2865910538074092e-8
420,2.0542230592861183e-8
421,1.8905244568329258e-8
422,1.908578380366898e-8
423,2.212566334197724e-8
424,2.0821916474203556e-8
425,1.9995837559040908e-8
426,2.1143340310878878e-8
427,2.1362083091664555e-8
428,1.959215464013081e-8
429,1.9318326418770044e-8
430,2.025850532937233e-8
431,1.947071052142763e-8
432,2.0085562558383953e-8
433,1.998849058715176e-8
434,2.036734406588542e-8
435,2.121455859691733e-8
436,1.9354769340368592e-8
437,1.865476145775031e-8
438,1.9061935689256624e-8
439,1.8848174764437855e-8
440,1.6743536761525962e-8
441,1.8429374697372816e-8
442,1.6786242778517077e-8
443,1.5459163841271345e-8
444,1.4784590498449392e-8
445,1.6070363488842104e-8
446,1.553611760177071e-8
447,1.6775968423152687e-8
448,1.745770698906737e-8
449,1.7730255744895212e-8
450,1.727319198231138e-8
451,1.6923909722461755e-8
452,1.8134788712373405e-8
453,1.9441452115337165e-8
454,1.8583777624141982e-8
455,1.708549241639697e-8
456,1.828841212988821e-8
457,1.8875710157805514e-8
458,1.5208696733393058e-8
459,1.714082417156086e-8
460,1.6566203807109432e-8
461,1.7695139876618185e-8
462,1.671848038527495e-8
463,1.8757804275952348e-8
464,1.826110274452001e-8
465,1.5514164784004728e-8
466,1.4223124120517688e-8
467,1.5665793588218185e-8
468,1.476852083409915e-8
469,1.2959791065370548e-8
470,1.2411306478642962e-8
471,1.2904791733791549e-8
472,1.3694967312311264e-8
473,1.6197851011878664e-8
474,1.6091554482232863e-8
475,1.673621321418771e-8
476,1.576180680554248e-8
477,1.698716870793753e-8
478,1.8622758012395053e-8
479,1.7651202608341854e-8
480,1.7543005518804413e-8
481,1.7770129796964993e-8
482,1.9029220565345287e-8
483,1.8119991933274404e-8
484,1.8485917052599844e-8
485,1.9382321809803617e-8
486,1.972509029755071e-8
487,1.8790286415932786e-8
488,1.7307621936226523e-8
489,1.7391606477230838e-8
490,1.8000671234813896e-8
491,1.6537593019814365e-8
492,1.4573860225785412e-8
493,1.467748009237627e-8
494,1.8871959679694447e-8
495,1.8583777624141982e-8
496,1.7161747186714285e-8
497,1.747845336064365e-8
498,1.7860927186875407e-8
499,1.482215668904619e-8
500,1.476700425436731e-8
501,1.5756098965896578e-8
502,1.5278210874599248e-8
503,1.6953891520644632e-8
504,1.7422629449658456e-8
505,1.901930311770814e-8
506,1.7329219390964345e-8
507,1.8006653186096565e-8
508,1.7469963596048325e-8
509,1.677196702981099e-8
510,1.7370735202366682e-8
511,1.6518705099687674e-8
512,1.70992278738301e-8
513,1.5189402831745485e-8
514,1.6626031538690282e-8
515,1.5232679342206623e-8
516,1.697546970940546e-8
517,1.85628219907655e-8
518,1.6731003882842834e-8
519,1.6469343966678684e-8
520,1.606497300073125e-8
521,1.5535176794235282e-8
522,1.4519076716665597e-8
523,1.8311305149064083e-8
524,1.9060443428885636e-8
525,1.9258834451712322e-8
526,1.8917032065499897e-8
527,2.1521770701561747e-8
528,1.8455584324509866e-8
529,1.7668809974793534e-8
530,1.985997054303936e-8
531,1.855515984638399e-8
532,1.742147812730835e-8
533,1.6062502194137787e-8
534,1.6635685447462015e-8
535,1.6720389882209132e-8
536,1.6088568354154726e-8
537,1.90000524573271e-8
538,1.856249287660864e-8
539,1.807167468147665e-8
540,1.766448580135963e-8
541,1.8745196614211634e-8
542,1.665583462122821e-8
543,1.9582967357610346e-8
544,1.7513768305198835e-8
545,1.7900802458437593e-8
546,1.573461061933449e-8
547,1.620251752992742e-8
548,1.6922842012606042e-8
549,1.499204924185963e-8
550,1.4727522672854964e-8
551,1.5696661761241006e-8
552,1.576817386610289e-8
553,1.5065307481184017e-8
