accuracy,bearing,leq_100,leq_1000,leq_10000,leq_125,leq_1250,leq_12500,leq_160,leq_1600,leq_16000,leq_200,leq_2000,leq_250,leq_2500,leq_315,leq_3150,leq_400,leq_4000,leq_500,leq_5000,leq_630,leq_6300,leq_800,leq_8000,leq_id,leq_mean,leq_utc,location_utc,marker-color,speed,geometry_wkt
10.5,115.4,31.435684204101562,22.543941497802734,22.031381607055664,32.97768783569336,21.857099533081055,21.660125732421875,26.78131866455078,23.548919677734375,23.37327766418457,25.892314910888672,22.720962524414062,28.52155113220215,23.2944393157959,24.323408126831055,23.91475486755371,24.080116271972656,23.347900390625,24.29783821105957,22.683744430541992,24.69820785522461,37.959556579589844,23.33385467529297,34.3182373046875,12216,39.89299,1763021756756,1763021757000,#A0BABF,0.07,POINT Z (-75.52999441511929 10.417352761141956 7)
9.5,302.2,27.546586990356445,22.855831146240234,22.114524841308594,32.79764175415039,22.87875747680664,21.72554588317871,26.187986373901367,23.88448715209961,23.39134407043457,25.10936164855957,23.343955993652344,26.40227699279785,23.538593292236328,23.140522003173828,24.76198387145996,24.091508865356445,24.11851692199707,25.6270809173584,22.80313491821289,23.305469512939453,38.66322708129883,24.12290382385254,34.94710159301758,12221,40.46953,1763021761772,1763021761000,#B8D6D1,1.11,POINT Z (-75.53000128827989 10.417357413098216 8)
10.5,0.0,29.794414520263672,22.311006546020508,23.353607177734375,33.29804611206055,21.961759567260742,21.9615478515625,24.60978126525879,22.740440368652344,23.39101219177246,24.352624893188477,22.483495712280273,25.32260513305664,23.746152877807617,23.047161102294922,24.16206169128418,24.047157287597656,23.82219696044922,23.821868896484375,23.592050552368164,23.384267807006836,38.60468292236328,22.703378677368164,35.59081268310547,12226,40.465023,1763021766778,1763021767000,#B8D6D1,0.0,POINT Z (-75.53000438958406 10.417346600443125 10)
11.0,0.0,28.996639251708984,21.93520736694336,22.166091918945312,28.798139572143555,22.18316078186035,21.5456600189209,25.677282333374023,22.969581604003906,23.28271484375,25.66036605834961,22.450428009033203,25.686321258544922,23.70847511291504,23.474483489990234,24.505510330200195,24.08938217163086,23.782379150390625,25.088722229003906,22.822673797607422,22.6710205078125,38.937679290771484,22.48614501953125,34.89650344848633,12231,40.48615,1763021771751,1763021771000,#B8D6D1,0.0,POINT Z (-75.53000438958406 10.417346600443125 10)
9.5,0.0,30.023767471313477,22.038043975830078,22.56226921081543,29.817720413208008,22.538860321044922,21.630115509033203,25.90657615661621,23.201013565063477,23.369617462158203,25.233522415161133,22.77947235107422,26.010074615478516,23.691503524780273,24.154869079589844,24.101577758789062,23.016878128051758,23.654735565185547,24.99475860595703,23.016252517700195,23.82524871826172,36.60636901855469,22.827301025390625,34.01018524169922,12236,39.200882,1763021776783,1763021776000,#A0BABF,0.0,POINT Z (-75.53000438958406 10.417346600443125 10)
11.5,303.5,25.996309280395508,22.25002098083496,23.917648315429688,30.532060623168945,21.33059310913086,21.94588851928711,25.925052642822266,23.119976043701172,23.392675399780273,26.22274398803711,22.47931671142578,26.442014694213867,23.3403263092041,25.608179092407227,24.69907569885254,23.835100173950195,24.033397674560547,23.82923698425293,23.68532371520996,22.594738006591797,38.44923400878906,22.181907653808594,35.89251708984375,12241,40.45206,1763021781774,1763021782000,#B8D6D1,0.14999999,POINT Z (-75.53001654334366 10.417356532998383 9)
10.5,0.0,30.575529098510742,22.2015323638916,22.07476043701172,29.45271110534668,21.728960037231445,21.652448654174805,30.050094604492188,22.874168395996094,23.43181800842285,25.566194534301758,22.32430076599121,26.510337829589844,23.454113006591797,23.576583862304688,23.747291564941406,24.182010650634766,23.565549850463867,24.521913528442383,22.607675552368164,22.765914916992188,38.05474090576172,22.448862075805664,34.07986068725586,12246,39.818222,1763021786770,1763021787000,#A0BABF,0.0,POINT Z (-75.5300264339894 10.417361939325929 8)
10.5,328.8,30.993003845214844,22.164310455322266,22.5391845703125,31.467803955078125,22.260765075683594,21.78435707092285,31.0073299407959,23.849233627319336,23.425350189208984,27.324796676635742,22.55855941772461,25.27747917175293,23.64732551574707,23.18657112121582,24.471126556396484,24.466827392578125,24.090057373046875,25.62887954711914,23.1033935546875,23.691661834716797,36.04486083984375,23.26998519897461,34.30657196044922,12251,39.073467,1763021791776,1763021792000,#A0BABF,0.38,POINT Z (-75.53001277148724 10.417370069772005 6)
10.0,0.0,26.64002799987793,22.400604248046875,21.903566360473633,28.84430503845215,21.799028396606445,21.731719970703125,28.247255325317383,22.496416091918945,23.301536560058594,26.947755813598633,21.988128662109375,26.445199966430664,23.152589797973633,24.032447814941406,23.91388511657715,24.723379135131836,23.583621978759766,23.99715232849121,22.621051788330078,24.043792724609375,37.64237976074219,22.611379623413086,34.73094940185547,12256,39.687412,1763021796778,1763021797000,#A0BABF,0.0,POINT Z (-75.53001159802079 10.417349115014076 5)
9.5,0.0,27.38549041748047,22.67342185974121,22.202077865600586,29.72827911376953,21.54692268371582,21.649930953979492,25.254470825195312,23.116069793701172,23.242023468017578,25.382909774780273,21.96619415283203,26.401138305664062,23.19437599182129,22.657058715820312,23.61516571044922,24.977554321289062,23.821273803710938,23.832677841186523,22.473628997802734,21.81868553161621,38.099552154541016,22.610517501831055,33.92886734008789,12261,39.785393,1763021801784,1763021802000,#A0BABF,0.0,POINT Z (-75.52997798658907 10.417341822758317 4)
