Tiempo (s),intensidad
372,2.009595270666284e-8
373,1.9995556704096653e-8
374,1.8824450167450984e-8
375,2.1704610669182207e-8
376,1.9233857760561305e-8
377,1.9546274791026596e-8
378,1.6286508864473234e-8
379,1.5714009088806396e-8
380,1.5636825872315346e-8
381,1.9688539442109152e-8
382,1.735253783502928e-8
383,1.5899951515241507e-8
384,1.9034260118500423e-8
385,1.7693176097547433e-8
386,1.7729018777742322e-8
387,1.846326912006278e-8
388,1.764658205908208e-8
389,1.2942524626135269e-8
390,1.572862651531228e-8
391,1.72507348515824e-8
392,1.714577025127219e-8
393,1.4412788047377597e-8
394,1.6576261906000608e-8
395,1.725007549085426e-8
396,1.7000629392360698e-8
397,1.657482684178949e-8
398,1.9301319509600986e-8
399,2.1245560836274857e-8
400,1.8918077488210662e-8
401,1.932958366630879e-8
402,1.8819292831155614e-8
403,2.0880457018371896e-8
404,1.8095917182483655e-8
405,2.0383525452875102e-8
406,1.8673554778862206e-8
407,2.140760091726281e-8
408,2.300727587252911e-8
409,2.0021550182566783e-8
410,2.2223323078342028e-8
411,1.9987938292376504e-8
412,1.9650078967130426e-8
413,1.9526032147748787e-8
414,1.9155522384719654e-8
415,2.120518179113089e-8
416,1.7378648528772612e-8
417,1.9833246061690583e-8
418,1.8428937619960268e-8
419,2.1144771678929615e-8
420,1.9615401411436678e-8
421,2.0687670956042802e-8
422,1.8577103469127624e-8
423,1.945216747475369e-8
424,1.875045453305483e-8
425,2.0086533804921258e-8
426,2.0691996677372426e-8
427,2.0472863931619527e-8
428,1.980972287104308e-8
429,1.876553713729153e-8
430,2.108982616312718e-8
431,2.044866687564843e-8
432,1.7969202380010034e-8
433,1.8663938726321297e-8
434,2.2201724028967803e-8
435,2.2021723224756892e-8
436,2.353534126471024e-8
437,2.0369951736185025e-8
438,2.06356189619797e-8
439,1.997373575380799e-8
440,2.11437979486295e-8
441,2.1023789522158866e-8
442,1.97759110499313e-8
443,2.1206500153969783e-8
444,2.040955332351593e-8
445,2.002196970900123e-8
446,2.2936439404063596e-8
447,2.0290932213072962e-8
448,2.021676672821352e-8
449,2.3568665896702645e-8
450,2.0838588561209825e-8
451,2.1380817178521428e-8
